,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Hotel Name
0,0,Bathsheba,13.2167,-59.5167,81.21,78,40,13.8,BB,2021-11-28 05:36:55,scattered clouds,Atlantis Hotel
4,4,Hermanus,-34.4187,19.2345,65.25,88,96,12.55,ZA,2021-11-28 05:36:57,overcast clouds,Misty Waves Boutique Hotel
5,5,Busselton,-33.65,115.3333,83.5,38,76,14.32,AU,2021-11-28 05:36:57,broken clouds,Observatory Guest House
7,7,Labuhan,-6.8844,112.2051,80.76,73,100,5.79,ID,2021-11-28 05:36:58,light rain,PT PPI Lamongan Tambak C
9,9,Vaini,-21.2,-175.2,80.76,89,75,10.36,TO,2021-11-28 05:36:58,light rain,Keleti Beach Resort
10,10,Butaritari,3.0707,172.7902,82.31,74,76,16.67,KI,2021-11-28 05:36:59,broken clouds,Isles Sunset Lodge
13,13,Saint-Philippe,-21.3585,55.7679,81.95,81,93,3.42,RE,2021-11-28 05:37:00,light rain,"Chambres d'hôte ""La Trinité"""
14,14,Sao Filipe,14.8961,-24.4956,76.39,73,85,9.69,CV,2021-11-28 05:34:16,overcast clouds,Hotel Xaguate
16,16,Hithadhoo,-0.6,73.0833,82.02,72,100,17.92,MV,2021-11-28 05:37:01,overcast clouds,Scoop Guest House
19,19,Bredasdorp,-34.5322,20.0403,67.82,76,90,16.4,ZA,2021-11-28 05:34:14,overcast clouds,Bredasdorp Country Manor
21,21,Port Alfred,-33.5906,26.891,74.46,52,43,9.31,ZA,2021-11-28 05:37:02,scattered clouds,The Halyards Hotel
24,24,Mitha Tiwana,32.2486,72.1108,74.12,20,18,2.08,PK,2021-11-28 05:37:04,few clouds,Canal Rest House
26,26,Kahului,20.8947,-156.47,75.22,73,90,11.5,US,2021-11-28 05:37:04,overcast clouds,Maui Seaside Hotel
31,31,Pangai,-19.8,-174.35,80.6,78,98,19.84,TO,2021-11-28 05:37:06,light rain,Ha'apai Beach Resort
