City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description
0,Bathsheba,13.2167,-59.5167,81.21,78,40,13.8,BB,2021-11-28 05:36:55,scattered clouds
1,Ushuaia,-54.8,-68.3,49.66,57,75,18.41,AR,2021-11-28 05:36:55,light rain
2,Rawson,-43.3002,-65.1023,55.74,78,0,5.44,AR,2021-11-28 05:36:56,clear sky
3,Sitka,57.0531,-135.33,35.49,87,90,3.44,US,2021-11-28 05:36:56,light rain
4,Hermanus,-34.4187,19.2345,65.25,88,96,12.55,ZA,2021-11-28 05:36:57,overcast clouds
5,Busselton,-33.65,115.3333,83.5,38,76,14.32,AU,2021-11-28 05:36:57,broken clouds
6,Khatanga,71.9667,102.5,-8.25,96,100,11.9,RU,2021-11-28 05:36:57,overcast clouds
7,Labuhan,-6.8844,112.2051,80.76,73,100,5.79,ID,2021-11-28 05:36:58,light rain
8,Barrow,71.2906,-156.7887,-5.78,77,90,10.36,US,2021-11-28 05:36:58,haze
9,Vaini,-21.2,-175.2,80.76,89,75,10.36,TO,2021-11-28 05:36:58,light rain
10,Butaritari,3.0707,172.7902,82.31,74,76,16.67,KI,2021-11-28 05:36:59,broken clouds
11,Tongliao,43.6125,122.2653,36.95,89,100,12.68,CN,2021-11-28 05:36:59,overcast clouds
12,Nikolskoye,59.7035,30.7861,28.29,93,100,10.33,RU,2021-11-28 05:36:59,light snow
13,Saint-Philippe,-21.3585,55.7679,81.95,81,93,3.42,RE,2021-11-28 05:37:00,light rain
14,Sao Filipe,14.8961,-24.4956,76.39,73,85,9.69,CV,2021-11-28 05:34:16,overcast clouds
15,Bluff,-46.6,168.3333,55.44,58,3,3.78,NZ,2021-11-28 05:37:00,clear sky
16,Hithadhoo,-0.6,73.0833,82.02,72,100,17.92,MV,2021-11-28 05:37:01,overcast clouds
17,Sistranda,63.7256,8.834,21.16,63,4,7.07,NO,2021-11-28 05:37:01,clear sky
18,Hasaki,35.7333,140.8333,59.29,41,1,14.61,JP,2021-11-28 05:37:01,clear sky
19,Bredasdorp,-34.5322,20.0403,67.82,76,90,16.4,ZA,2021-11-28 05:34:14,overcast clouds
20,Saint Anthony,45.0205,-93.218,33.73,69,1,10.36,US,2021-11-28 05:37:02,clear sky
21,Port Alfred,-33.5906,26.891,74.46,52,43,9.31,ZA,2021-11-28 05:37:02,scattered clouds
22,Kamaishi,39.2667,141.8833,49.15,49,53,7.18,JP,2021-11-28 05:37:03,broken clouds
23,Punta Arenas,-53.15,-70.9167,50.11,57,90,11.5,CL,2021-11-28 05:37:03,overcast clouds
24,Mitha Tiwana,32.2486,72.1108,74.12,20,18,2.08,PK,2021-11-28 05:37:04,few clouds
25,Prince Rupert,54.3161,-130.3201,49.69,78,90,17.27,CA,2021-11-28 05:36:08,moderate rain
26,Kahului,20.8947,-156.47,75.22,73,90,11.5,US,2021-11-28 05:37:04,overcast clouds
27,Kodiak,57.79,-152.4072,17.11,53,1,13.8,US,2021-11-28 05:33:17,clear sky
28,Srednekolymsk,67.45,153.6833,-38.81,99,47,5.46,RU,2021-11-28 05:37:05,scattered clouds
29,Yellowknife,62.456,-114.3525,-17.88,76,1,8.05,CA,2021-11-28 05:37:05,clear sky
30,Mungwi,-10.1732,31.3694,68.32,74,66,7.4,ZM,2021-11-28 05:37:06,broken clouds
31,Pangai,-19.8,-174.35,80.6,78,98,19.84,TO,2021-11-28 05:37:06,light rain
32,Jamestown,42.097,-79.2353,31.32,93,90,6.91,US,2021-11-28 05:36:35,light snow
33,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,21.85,CA,2021-11-28 05:37:07,light snow
34,Ayacucho,-13.1583,-74.2239,57.27,73,100,3.22,PE,2021-11-28 05:37:07,overcast clouds
35,Constitucion,-35.3333,-72.4167,51.8,76,0,6.82,CL,2021-11-28 05:37:08,clear sky
36,Mahajanga,-15.7167,46.3167,84.22,70,40,6.91,MG,2021-11-28 05:37:08,light rain
37,Araouane,18.9048,-3.5265,68.5,40,99,11.12,ML,2021-11-28 05:37:08,overcast clouds
38,Puerto Colombia,10.9878,-74.9547,80.69,85,62,18.21,CO,2021-11-28 05:37:09,broken clouds
39,Kaitangata,-46.2817,169.8464,58.33,68,0,5.12,NZ,2021-11-28 05:37:09,clear sky
40,Norman Wells,65.282,-126.8329,-32.76,68,20,2.3,CA,2021-11-28 05:37:09,few clouds
41,Nkayi,-4.1841,13.2884,73.29,92,72,1.1,CG,2021-11-28 05:37:10,broken clouds
42,Damietta,31.4165,31.8133,62.49,46,21,7.16,EG,2021-11-28 05:36:52,few clouds
43,Pszczyna,49.9804,18.9538,35.47,99,100,5.79,PL,2021-11-28 05:37:10,overcast clouds
44,Qostanay,53.1667,63.5833,8.89,66,0,8.95,KZ,2021-11-28 05:33:24,clear sky
